Datetime,Count
2012-08-25,76
2012-08-26,88
2012-08-27,62
2012-08-28,58
2012-08-29,60
2012-08-30,74
2012-08-31,78
2012-09-01,112
2012-09-02,118
2012-09-03,108
2012-09-04,66
2012-09-05,104
2012-09-06,100
2012-09-07,68
2012-09-08,100
2012-09-09,68
2012-09-10,64
2012-09-11,58
2012-09-12,84
2012-09-13,72
2012-09-14,84
2012-09-15,92
2012-09-16,70
2012-09-17,92
2012-09-18,188
2012-09-19,158
2012-09-20,84
2012-09-21,90
2012-09-22,78
2012-09-23,102
2012-09-24,162
2012-09-25,160
2012-09-26,118
2012-09-27,104
2012-09-28,78
2012-09-29,62
2012-09-30,356
2012-10-01,248
2012-10-02,166
2012-10-03,116
2012-10-04,160
2012-10-05,134
2012-10-06,118
2012-10-07,168
2012-10-08,414
2012-10-09,140
2012-10-10,342
2012-10-11,172
2012-10-12,178
2012-10-13,164
2012-10-14,330
2012-10-15,322
2012-10-16,346
2012-10-17,140
2012-10-18,292
2012-10-19,560
2012-10-20,416
2012-10-21,368
2012-10-22,382
2012-10-23,256
2012-10-24,230
2012-10-25,262
2012-10-26,232
2012-10-27,140
2012-10-28,256
2012-10-29,342
2012-10-30,358
2012-10-31,422
2012-11-01,304
2012-11-02,1112
2012-11-03,584
2012-11-04,450
2012-11-05,678
2012-11-06,474
2012-11-07,334
2012-11-08,280
2012-11-09,348
2012-11-10,412
2012-11-11,758
2012-11-12,620
2012-11-13,366
2012-11-14,304
2012-11-15,356
2012-11-16,504
2012-11-17,280
2012-11-18,280
2012-11-19,316
2012-11-20,318
2012-11-21,374
2012-11-22,344
2012-11-23,256
2012-11-24,136
2012-11-25,172
2012-11-26,146
2012-11-27,358
2012-11-28,190
2012-11-29,166
2012-11-30,176
2012-12-01,210
2012-12-02,284
2012-12-03,402
2012-12-04,356
2012-12-05,244
2012-12-06,204
2012-12-07,488
2012-12-08,254
2012-12-09,210
2012-12-10,478
2012-12-11,596
2012-12-12,332
2012-12-13,396
2012-12-14,422
2012-12-15,238
2012-12-16,632
2012-12-17,526
2012-12-18,376
2012-12-19,350
2012-12-20,512
2012-12-21,494
2012-12-22,242
2012-12-23,418
2012-12-24,580
2012-12-25,376
2012-12-26,254
2012-12-27,290
2012-12-28,256
2012-12-29,304
2012-12-30,324
2012-12-31,618
2013-01-01,402
2013-01-02,292
2013-01-03,278
2013-01-04,564
2013-01-05,352
2013-01-06,178
2013-01-07,488
2013-01-08,362
2013-01-09,238
2013-01-10,220
2013-01-11,344
2013-01-12,222
2013-01-13,174
2013-01-14,262
2013-01-15,662
2013-01-16,626
2013-01-17,892
2013-01-18,742
2013-01-19,444
2013-01-20,410
2013-01-21,832
2013-01-22,718
2013-01-23,508
2013-01-24,504
2013-01-25,470
2013-01-26,314
2013-01-27,308
2013-01-28,442
2013-01-29,342
2013-01-30,508
2013-01-31,614
2013-02-01,464
2013-02-02,208
2013-02-03,208
2013-02-04,392
2013-02-05,426
2013-02-06,538
2013-02-07,380
2013-02-08,424
2013-02-09,438
2013-02-10,338
2013-02-11,562
2013-02-12,490
2013-02-13,416
2013-02-14,494
2013-02-15,688
2013-02-16,326
2013-02-17,252
2013-02-18,876
2013-02-19,670
2013-02-20,476
2013-02-21,420
2013-02-22,1122
2013-02-23,970
2013-02-24,574
2013-02-25,856
2013-02-26,788
2013-02-27,652
2013-02-28,464
2013-03-01,748
2013-03-02,730
2013-03-03,372
2013-03-04,784
2013-03-05,762
2013-03-06,546
2013-03-07,582
2013-03-08,906
2013-03-09,400
2013-03-10,390
2013-03-11,526
2013-03-12,530
2013-03-13,510
2013-03-14,534
2013-03-15,536
2013-03-16,346
2013-03-17,360
2013-03-18,590
2013-03-19,374
2013-03-20,292
2013-03-21,722
2013-03-22,1112
2013-03-23,456
2013-03-24,556
2013-03-25,760
2013-03-26,642
2013-03-27,382
2013-03-28,596
2013-03-29,714
2013-03-30,420
2013-03-31,372
2013-04-01,602
2013-04-02,968
2013-04-03,794
2013-04-04,854
2013-04-05,882
2013-04-06,472
2013-04-07,338
2013-04-08,898
2013-04-09,874
2013-04-10,668
2013-04-11,848
2013-04-12,852
2013-04-13,792
2013-04-14,582
2013-04-15,792
2013-04-16,1092
2013-04-17,986
2013-04-18,960
2013-04-19,888
2013-04-20,638
2013-04-21,554
2013-04-22,1292
2013-04-23,1324
2013-04-24,1094
2013-04-25,982
2013-04-26,896
2013-04-27,494
2013-04-28,464
2013-04-29,800
2013-04-30,1092
2013-05-01,948
2013-05-02,1950
2013-05-03,1088
2013-05-04,640
2013-05-05,562
2013-05-06,1024
2013-05-07,930
2013-05-08,936
2013-05-09,886
2013-05-10,860
2013-05-11,658
2013-05-12,484
2013-05-13,1034
2013-05-14,962
2013-05-15,932
2013-05-16,936
2013-05-17,966
2013-05-18,708
2013-05-19,632
2013-05-20,1462
2013-05-21,1306
2013-05-22,984
2013-05-23,1316
2013-05-24,1532
2013-05-25,1072
2013-05-26,678
2013-05-27,1568
2013-05-28,1420
2013-05-29,1444
2013-05-30,2548
2013-05-31,1470
2013-06-01,774
2013-06-02,610
2013-06-03,1376
2013-06-04,1414
2013-06-05,1416
2013-06-06,1880
2013-06-07,1548
2013-06-08,856
2013-06-09,790
2013-06-10,1192
2013-06-11,1508
2013-06-12,1822
2013-06-13,1280
2013-06-14,1206
2013-06-15,806
2013-06-16,654
2013-06-17,1328
2013-06-18,1482
2013-06-19,1416
2013-06-20,1448
2013-06-21,1830
2013-06-22,1702
2013-06-23,1070
2013-06-24,1598
2013-06-25,1954
2013-06-26,1658
2013-06-27,1616
2013-06-28,2484
2013-06-29,1532
2013-06-30,1030
2013-07-01,2084
2013-07-02,2444
2013-07-03,2046
2013-07-04,1812
2013-07-05,1880
2013-07-06,1028
2013-07-07,944
2013-07-08,2110
2013-07-09,1900
2013-07-10,1974
2013-07-11,1884
2013-07-12,1292
2013-07-13,900
2013-07-14,908
2013-07-15,2084
2013-07-16,2294
2013-07-17,2054
2013-07-18,1692
2013-07-19,1870
2013-07-20,1208
2013-07-21,2064
2013-07-22,2982
2013-07-23,2568
2013-07-24,1994
2013-07-25,1640
2013-07-26,1892
2013-07-27,988
2013-07-28,994
2013-07-29,2024
2013-07-30,1930
2013-07-31,2158
2013-08-01,2492
2013-08-02,1790
2013-08-03,1300
2013-08-04,932
2013-08-05,3166
2013-08-06,2900
2013-08-07,2298
2013-08-08,3036
2013-08-09,1894
2013-08-10,1362
2013-08-11,1040
2013-08-12,2304
2013-08-13,2382
2013-08-14,2376
2013-08-15,4132
2013-08-16,4290
2013-08-17,1676
2013-08-18,1280
2013-08-19,3070
2013-08-20,3532
2013-08-21,3200
2013-08-22,3006
2013-08-23,2448
2013-08-24,1414
2013-08-25,1156
2013-08-26,2598
2013-08-27,2520
2013-08-28,2406
2013-08-29,4080
2013-08-30,2890
2013-08-31,1532
2013-09-01,1310
2013-09-02,2408
2013-09-03,3136
2013-09-04,3854
2013-09-05,5960
2013-09-06,2806
2013-09-07,1592
2013-09-08,1398
2013-09-09,3510
2013-09-10,2768
2013-09-11,2720
2013-09-12,2844
2013-09-13,3426
2013-09-14,1944
2013-09-15,2190
2013-09-16,3118
2013-09-17,4452
